op_index	op_name	op_type	output_index	type_code	type_bits	dimension_type	shape	elements	finite	min	max	mean	rms
177	/transformer_blocks.1/attn_norm/norm/LayerNormalization_output_0	LayerNorm	0	2	32	1	[2,32,1024]	65536	1	-22.4107	20.2928	-1.94728e-10	1
178	/transformer_blocks.1/attn_norm/Add_1_output_0_raster_0	Raster	0	2	32	1	[2,1,1024]	2048	1	-4.56606	1.18449	-0.732397	1.05104
179	/transformer_blocks.1/attn_norm/Add_1_output_0	BinaryOp	0	2	32	1	[2,1,1024]	2048	1	-3.56606	2.18449	0.267603	0.799928
180	/transformer_blocks.1/attn_norm/Mul_6_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-6.23747	5.9906	-0.0110241	0.497239
181	/transformer_blocks.1/attn_norm/Add_2_output_0_raster_0	Raster	0	2	32	1	[2,1,1024]	2048	1	-1.98254	1.67067	0.00284243	0.154967
182	/transformer_blocks.1/attn_norm/Add_2_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-6.22266	6.00473	-0.00818169	0.489858
183	/transformer_blocks.1/attn/to_q/Add_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-8.34209	8.97421	0.0115948	1.90276
184	/transformer_blocks.1/attn/Mul_output_0_raster_0	Raster	0	2	32	1	[2,32,64]	4096	1	-3.93107	5.63682	-0.0941909	1.35211
185	/transformer_blocks.1/attn/Mul_output_0	While	0	2	32	1	[2,32,64]	4096	1	-3.59591	5.63659	-0.00900964	1.21132
186	/transformer_blocks.1/attn/Neg_1_output_0_raster_0	Raster	0	2	32	1	[2,32,32,2]	4096	1	-3.93107	5.63682	-0.0941909	1.35211
187	/transformer_blocks.1/attn/Neg_1_output_0_raster_1	Raster	0	2	32	1	[2,32,32,1]	2048	1	-3.93107	5.25086	-0.157027	1.44964
188	/transformer_blocks.1/attn/Neg_1_output_0	UnaryOp	0	2	32	1	[2,32,32,1]	2048	1	-5.25086	3.93107	0.157027	1.44964
189	/transformer_blocks.1/attn/Mul_4_output_0_raster_0	Raster	0	2	32	1	[2,32,64]	4096	1	-5.25086	5.63682	0.062836	1.35211
190	/transformer_blocks.1/attn/Mul_4_output_0	While	0	2	32	1	[2,32,64]	4096	1	-3.8444	3.57209	-0.0538316	0.600744
191	/transformer_blocks.1/attn/Add_output_0	BinaryOp	0	2	32	1	[2,32,64]	4096	1	-4.99385	5.63089	-0.0628412	1.35211
192	/transformer_blocks.1/attn/to_k/Add_output_0	While	0	2	32	1	[2,32,1024]	65536	1	-8.78797	10.7189	-0.050057	2.05447
193	/transformer_blocks.1/attn/Mul_6_output_0_raster_0	Raster	0	2	32	1	[2,32,64]	4096	1	-6.08304	5.53104	-0.276392	1.63836
194	/transformer_blocks.1/attn/Mul_6_output_0	While	0	2	32	1	[2,32,64]	4096	1	-6.08275	5.53104	-0.167587	1.4533
195	/transformer_blocks.1/attn/Neg_3_output_0_raster_0	Raster	0	2	32	1	[2,32,32,2]	4096	1	-6.08304	5.53104	-0.276392	1.63836
196	/transformer_blocks.1/attn/Neg_3_output_0_raster_1	Raster	0	2	32	1	[2,32,32,1]	2048	1	-5.60132	5.53104	-0.130087	1.65681
197	/transformer_blocks.1/attn/Neg_3_output_0	UnaryOp	0	2	32	1	[2,32,32,1]	2048	1	-5.53104	5.60132	0.130087	1.65681
198	/transformer_blocks.1/attn/Mul_10_output_0_raster_0	Raster	0	2	32	1	[2,32,64]	4096	1	-6.08304	5.60132	-0.146304	1.63836
199	/transformer_blocks.1/attn/Mul_10_output_0	While	0	2	32	1	[2,32,64]	4096	1	-4.60706	4.50537	-0.0706312	0.7564
